lat,lng,alt,speed,timestamp
22.817150,108.366900,83,32,2026-06-03T09:00:00
22.817280,108.367230,84,34,2026-06-03T09:00:05
22.817420,108.367570,84,36,2026-06-03T09:00:10
22.817560,108.367920,85,35,2026-06-03T09:00:15
22.817720,108.368260,85,37,2026-06-03T09:00:20
22.817900,108.368590,86,38,2026-06-03T09:00:25
22.818080,108.368930,86,36,2026-06-03T09:00:30
22.818260,108.369270,87,35,2026-06-03T09:00:35
22.818430,108.369620,87,34,2026-06-03T09:00:40
22.818580,108.369980,88,33,2026-06-03T09:00:45
22.818720,108.370340,88,31,2026-06-03T09:00:50
22.818840,108.370710,89,30,2026-06-03T09:00:55
22.818960,108.371080,89,32,2026-06-03T09:01:00
22.819090,108.371450,90,34,2026-06-03T09:01:05
22.819220,108.371830,90,36,2026-06-03T09:01:10
22.819350,108.372210,91,37,2026-06-03T09:01:15
22.819480,108.372590,91,35,2026-06-03T09:01:20
22.819620,108.372960,92,34,2026-06-03T09:01:25
22.819770,108.373330,92,33,2026-06-03T09:01:30
22.819930,108.373690,93,32,2026-06-03T09:01:35
22.820100,108.374050,93,34,2026-06-03T09:01:40
22.820280,108.374410,94,36,2026-06-03T09:01:45
22.820470,108.374760,94,35,2026-06-03T09:01:50
22.820670,108.375100,95,33,2026-06-03T09:01:55
22.820880,108.375430,95,32,2026-06-03T09:02:00
22.821100,108.375740,96,31,2026-06-03T09:02:05
22.821320,108.376040,96,30,2026-06-03T09:02:10
22.821550,108.376330,97,31,2026-06-03T09:02:15
22.821790,108.376610,97,32,2026-06-03T09:02:20
22.822040,108.376880,98,33,2026-06-03T09:02:25
